Date,aapl_price,nasdaq_price
4/7/14,16.630901,4079.75
4/8/14,16.62995,4112.990234
4/9/14,16.848536,4183.899902
4/10/14,16.63122,4054.110107
4/11/14,16.50827,3999.72998
4/14/14,16.574038,4022.689941
4/15/14,16.455849,4034.159912
4/16/14,16.489206,4086.22998
4/17/14,16.677605,4095.52002
4/21/14,16.875542,4121.549805
4/22/14,16.892376,4161.459961
4/23/14,16.671572,4126.970215
4/24/14,18.03834,4148.339844
4/25/14,18.17083,4075.560059
4/28/14,18.874538,4074.399902
4/29/14,18.818621,4103.540039
4/30/14,18.747459,4114.560059
5/1/14,18.791615,4127.450195
5/2/14,18.826553,4123.899902
5/5/14,19.092804,4138.060059
5/6/14,18.884706,4080.76001
5/7/14,18.818621,4067.669922
5/8/14,18.785074,4051.5
5/9/14,18.706806,4071.870117
5/12/14,18.939707,4143.859863
5/13/14,18.969414,4130.169922
5/14/14,18.972929,4100.629883
5/15/14,18.811592,4069.290039
5/16/14,19.08922,4090.590088
5/19/14,19.315414,4125.810059
5/20/14,19.319248,4096.890137
5/21/14,19.370361,4131.540039
5/22/14,19.40103,4154.339844
5/23/14,19.620192,4185.810059
5/27/14,19.9876,4237.069824
5/28/14,19.935843,4225.080078
5/29/14,20.299088,4247.950195
5/30/14,20.223055,4242.620117
6/2/14,20.084082,4237.200195
6/3/14,20.368093,4234.080078
6/4/14,20.600676,4251.640137
6/5/14,20.681501,4296.22998
6/6/14,20.624638,4321.399902
6/9/14,20.954664,4336.240234
6/10/14,21.077665,4338
6/11/14,20.990446,4331.930176
6/12/14,20.639336,4297.629883
6/13/14,20.413462,4310.649902
6/16/14,20.619207,4321.100098
6/17/14,20.592371,4337.22998
6/18/14,20.614735,4362.839844
6/19/14,20.543173,4359.330078
6/20/14,20.330717,4368.040039
6/23/14,20.312828,4368.680176
6/24/14,20.189831,4350.350098
6/25/14,20.207718,4379.759766
6/26/14,20.328476,4379.049805
6/27/14,20.570005,4397.930176
6/30/14,20.782463,4408.180176
7/1/14,20.91441,4458.649902
7/2/14,20.905464,4457.72998
7/3/14,21.028456,4485.930176
7/7/14,21.462315,4451.529785
7/8/14,21.323654,4391.459961
7/9/14,21.332602,4419.029785
7/10/14,21.254333,4396.200195
7/11/14,21.294584,4415.490234
7/14/14,21.569662,4440.419922
7/15/14,21.31695,4416.390137
7/16/14,21.196188,4425.970215
7/17/14,20.818241,4363.450195
7/18/14,21.117914,4432.149902
7/21/14,21.008333,4424.700195
7/22/14,21.18277,4456.02002
7/23/14,21.735149,4473.700195
7/24/14,21.699366,4472.109863
7/25/14,21.842493,4449.560059
7/28/14,22.144398,4444.910156
7/29/14,22.00128,4442.700195
7/30/14,21.949837,4462.899902
7/31/14,21.379572,4369.77002
8/1/14,21.4981,4352.640137
8/4/14,21.377331,4383.890137
8/5/14,21.272223,4352.839844
8/6/14,21.236439,4355.049805
8/7/14,21.234188,4334.970215
8/8/14,21.292625,4370.899902
8/11/14,21.57357,4401.330078
8/12/14,21.569071,4389.25
8/13/14,21.854498,4434.129883
8/14/14,21.912933,4453
8/15/14,22.020809,4464.930176
8/18/14,22.286015,4508.310059
8/19/14,22.593916,4527.509766
8/20/14,22.602907,4526.47998
8/21/14,22.605158,4532.100098
8/22/14,22.771467,4538.549805
8/25/14,22.820915,4557.350098
8/26/14,22.674828,4570.640137
8/27/14,22.953514,4569.620117
8/28/14,22.980486,4557.700195
8/29/14,23.036676,4580.27002
9/2/14,23.216476,4598.189941
9/3/14,22.23657,4572.560059
9/4/14,22.052284,4562.290039
9/5/14,22.243313,4582.899902
9/8/14,22.106215,4592.290039
9/9/14,22.023064,4552.290039
9/10/14,22.699551,4586.52002
9/11/14,22.796194,4591.810059
9/12/14,22.847883,4567.600098
9/15/14,22.841143,4518.899902
9/16/14,22.668087,4552.759766
9/17/14,22.829914,4562.189941
9/18/14,22.877106,4593.430176
9/19/14,22.690557,4579.790039
9/22/14,22.713037,4527.689941
9/23/14,23.068142,4508.689941
9/24/14,22.868111,4555.220215
9/25/14,21.996088,4466.75
9/26/14,22.643362,4512.189941
9/29/14,22.499521,4505.850098
9/30/14,22.643362,4493.390137
10/1/14,22.290506,4422.089844
10/2/14,22.452332,4430.200195
10/3/14,22.389395,4475.620117
10/6/14,22.389395,4454.799805
10/7/14,22.193871,4385.200195
10/8/14,22.654602,4468.589844
10/9/14,22.704044,4378.339844
10/10/14,22.638866,4276.240234
10/13/14,22.4321,4213.660156
10/14/14,22.193871,4227.169922
10/15/14,21.921925,4215.319824
10/16/14,21.634243,4217.390137
10/17/14,21.951138,4258.439941
10/20/14,22.420868,4316.069824
10/21/14,23.02993,4419.47998
10/22/14,23.146793,4382.850098
10/23/14,23.560341,4452.790039
10/24/14,23.647993,4483.720215
10/27/14,23.62326,4485.930176
10/28/14,23.989605,4564.290039
10/29/14,24.124458,4549.22998
10/30/14,24.043543,4566.140137
10/31/14,24.272793,4630.740234
11/3/14,24.587433,4638.910156
11/4/14,24.407635,4623.640137
11/5/14,24.466072,4620.720215
11/6/14,24.536047,4638.470215
11/7/14,24.60602,4632.529785
11/10/14,24.56539,4651.620117
11/11/14,24.761766,4660.560059
11/12/14,25.111639,4675.140137
11/13/14,25.466022,4680.140137
11/14/14,25.773006,4688.540039
11/17/14,25.730118,4671
11/18/14,26.064184,4702.439941
11/19/14,25.883608,4675.709961
11/20/14,26.253786,4701.870117
11/21/14,26.289909,4712.970215
11/24/14,26.777468,4754.890137
11/25/14,26.544971,4758.25
11/26/14,26.860989,4787.319824
11/28/14,26.845186,4791.629883
12/1/14,25.973896,4727.350098
12/2/14,25.874582,4755.810059
12/3/14,26.168022,4774.470215
12/4/14,26.068699,4769.439941
12/5/14,25.958101,4780.759766
12/8/14,25.371218,4740.689941
12/9/14,25.759462,4766.470215
12/10/14,25.269644,4684.02002
12/11/14,25.195156,4708.160156
12/12/14,24.768545,4653.600098
12/15/14,24.429953,4605.160156
12/16/14,24.095882,4547.830078
12/17/14,24.696304,4644.310059
12/18/14,25.42765,4748.399902
12/19/14,25.231268,4765.379883
12/22/14,25.493113,4781.419922
12/23/14,25.402821,4765.419922
12/24/14,25.283188,4773.470215
12/26/14,25.730118,4806.859863
12/29/14,25.712055,4806.910156
12/30/14,25.398306,4777.439941
12/31/14,24.915255,4736.049805
1/2/15,24.678249,4726.810059
1/5/15,23.983028,4652.569824
1/6/15,23.985281,4592.740234
1/7/15,24.321609,4650.470215
1/8/15,25.2561,4736.189941
1/9/15,25.283188,4704.069824
1/12/15,24.660196,4664.709961
1/13/15,24.879145,4661.5
1/14/15,24.784342,4639.319824
1/15/15,24.111683,4570.819824
1/16/15,23.924335,4634.379883
1/20/15,24.540554,4654.850098
1/21/15,24.727915,4667.419922
1/22/15,25.371218,4750.399902
1/23/15,25.50214,4757.879883
1/26/15,25.529222,4771.759766
1/27/15,24.635368,4681.5
1/28/15,26.028072,4637.990234
1/29/15,26.838413,4683.410156
1/30/15,26.445654,4635.240234
2/2/15,26.777468,4676.689941
2/3/15,26.781984,4727.740234
2/4/15,26.987391,4716.700195
2/5/15,27.18001,4765.100098
2/6/15,26.951132,4744.399902
2/9/15,27.130159,4726.009766
2/10/15,27.651369,4787.640137
2/11/15,28.299484,4801.180176
2/12/15,28.657532,4857.609863
2/13/15,28.798035,4893.839844
2/17/15,28.967999,4899.27002
2/18/15,29.16968,4906.359863
2/19/15,29.108498,4924.700195
2/20/15,29.346443,4955.970215
2/23/15,30.139585,4960.970215
2/24/15,29.951485,4968.120117
2/25/15,29.185547,4967.140137
2/26/15,29.554922,4987.890137
2/27/15,29.110764,4963.529785
3/2/15,29.253525,5008.100098
3/3/15,29.314711,4979.899902
3/4/15,29.128889,4967.140137
3/5/15,28.646208,4982.810059
3/6/15,28.689259,4927.370117
3/9/15,28.811626,4942.439941
3/10/15,28.215641,4859.790039
3/11/15,27.701229,4849.939941
3/12/15,28.20204,4893.290039
3/13/15,28.007153,4871.759766
3/16/15,28.315348,4929.509766
3/17/15,28.788971,4937.430176
3/18/15,29.113028,4982.830078
3/19/15,28.893211,4992.379883
3/20/15,28.530632,5026.419922
3/23/15,28.82749,5010.970215
3/24/15,28.70966,4994.72998
3/25/15,27.959564,4876.52002
3/26/15,28.154449,4863.359863
3/27/15,27.930103,4891.220215
3/30/15,28.63714,4947.439941
3/31/15,28.197506,4900.879883
4/1/15,28.156723,4880.22998
4/2/15,28.399191,4886.939941
4/6/15,28.859217,4917.319824
4/7/15,28.555559,4910.22998
4/8/15,28.462643,4950.819824
4/9/15,28.680195,4974.560059
4/10/15,28.802567,4995.97998
4/13/15,28.745911,4988.25
4/14/15,28.621269,4977.290039
4/15/15,28.730047,5011.02002
4/16/15,28.591816,5007.790039
4/17/15,28.270023,4931.810059
4/20/15,28.915873,4994.600098
4/21/15,28.759512,5014.100098
4/22/15,29.147017,5035.169922
4/23/15,29.38496,5056.060059
4/24/15,29.523201,5092.080078
4/27/15,30.06027,5060.25
4/28/15,29.586645,5055.419922
4/29/15,29.15155,5023.640137
4/30/15,28.360668,4941.419922
5/1/15,29.221796,5005.390137
5/4/15,29.16515,5016.930176
5/5/15,28.507969,4939.330078
5/6/15,28.328947,4919.640137
5/7/15,28.504164,4945.540039
5/8/15,29.041206,5003.549805
5/11/15,28.745375,4993.569824
5/12/15,28.642982,4976.189941
5/13/15,28.674839,4981.689941
5/14/15,29.343863,5050.799805
5/15/15,29.302906,5048.290039
5/18/15,29.626036,5078.439941
5/19/15,29.598724,5070.029785
5/20/15,29.596453,5071.740234
5/21/15,29.899109,5090.790039
5/22/15,30.160801,5089.359863
5/26/15,29.496325,5032.75
5/27/15,30.047026,5106.589844
5/28/15,29.987856,5097.97998
5/29/15,29.646517,5070.029785
6/1/15,29.705679,5082.930176
6/2/15,29.5737,5076.52002
6/3/15,29.610104,5099.22998
6/4/15,29.43716,5059.120117
6/5/15,29.275589,5068.459961
6/8/15,29.082167,5021.629883
6/9/15,28.995697,5013.870117
6/10/15,29.327932,5076.689941
6/11/15,29.261938,5082.509766
6/12/15,28.938807,5051.100098
6/15/15,28.881912,5029.970215
6/16/15,29.036657,5055.549805
6/17/15,28.96839,5064.879883
